"LATITUDE","LONGITUDE","DATE","FOG","HEAVYFOG"
"32.7336","-117.1831","1/1/2008","",""
"32.7336","-117.1831","1/2/2008","",""
"32.7336","-117.1831","1/3/2008","",""
"32.7336","-117.1831","1/4/2008","",""
"32.7336","-117.1831","1/5/2008","1",""
"32.7336","-117.1831","1/6/2008","1",""
"32.7336","-117.1831","1/7/2008","1",""
"32.7336","-117.1831","1/8/2008","",""
"32.7336","-117.1831","1/9/2008","1",""
"32.7336","-117.1831","1/10/2008","1",""
"32.7336","-117.1831","1/11/2008","1",""
"32.7336","-117.1831","1/12/2008","1","1"
"32.7336","-117.1831","1/13/2008","1","1"
"32.7336","-117.1831","1/14/2008","",""
"32.7336","-117.1831","1/15/2008","",""
"32.7336","-117.1831","1/16/2008","1",""
"32.7336","-117.1831","1/17/2008","",""
"32.7336","-117.1831","1/18/2008","",""
"32.7336","-117.1831","1/19/2008","",""
"32.7336","-117.1831","1/20/2008","",""
"32.7336","-117.1831","1/21/2008","1",""
"32.7336","-117.1831","1/22/2008","",""
"32.7336","-117.1831","1/23/2008","1",""
"32.7336","-117.1831","1/24/2008","",""
"32.7336","-117.1831","1/25/2008","",""
"32.7336","-117.1831","1/26/2008","1",""
"32.7336","-117.1831","1/27/2008","1",""
"32.7336","-117.1831","1/28/2008","1",""
"32.7336","-117.1831","1/29/2008","",""
"32.7336","-117.1831","1/30/2008","",""
"32.7336","-117.1831","1/31/2008","",""
"32.7336","-117.1831","2/1/2008","",""
"32.7336","-117.1831","2/2/2008","",""
"32.7336","-117.1831","2/3/2008","1",""
"32.7336","-117.1831","2/4/2008","",""
"32.7336","-117.1831","2/5/2008","",""
"32.7336","-117.1831","2/6/2008","",""
"32.7336","-117.1831","2/7/2008","",""
"32.7336","-117.1831","2/8/2008","",""
"32.7336","-117.1831","2/9/2008","",""
"32.7336","-117.1831","2/10/2008","",""
"32.7336","-117.1831","2/11/2008","",""
"32.7336","-117.1831","2/12/2008","1","1"
"32.7336","-117.1831","2/13/2008","1","1"
"32.7336","-117.1831","2/14/2008","",""
"32.7336","-117.1831","2/15/2008","",""
"32.7336","-117.1831","2/16/2008","",""
"32.7336","-117.1831","2/17/2008","",""
"32.7336","-117.1831","2/18/2008","1",""
"32.7336","-117.1831","2/19/2008","",""
"32.7336","-117.1831","2/20/2008","1",""
"32.7336","-117.1831","2/21/2008","",""
"32.7336","-117.1831","2/22/2008","1",""
"32.7336","-117.1831","2/23/2008","",""
"32.7336","-117.1831","2/24/2008","1",""
"32.7336","-117.1831","2/25/2008","",""
"32.7336","-117.1831","2/26/2008","1",""
"32.7336","-117.1831","2/27/2008","1","1"
"32.7336","-117.1831","2/28/2008","",""
"32.7336","-117.1831","2/29/2008","1",""
"32.7336","-117.1831","3/1/2008","",""
"32.7336","-117.1831","3/2/2008","",""
"32.7336","-117.1831","3/3/2008","",""
"32.7336","-117.1831","3/4/2008","",""
"32.7336","-117.1831","3/5/2008","1",""
"32.7336","-117.1831","3/6/2008","1",""
"32.7336","-117.1831","3/7/2008","",""
"32.7336","-117.1831","3/8/2008","",""
"32.7336","-117.1831","3/9/2008","1",""
"32.7336","-117.1831","3/10/2008","",""
"32.7336","-117.1831","3/11/2008","",""
"32.7336","-117.1831","3/12/2008","",""
"32.7336","-117.1831","3/13/2008","1",""
"32.7336","-117.1831","3/14/2008","",""
"32.7336","-117.1831","3/15/2008","",""
"32.7336","-117.1831","3/16/2008","",""
"32.7336","-117.1831","3/17/2008","",""
"32.7336","-117.1831","3/18/2008","",""
"32.7336","-117.1831","3/19/2008","1",""
"32.7336","-117.1831","3/20/2008","1",""
"32.7336","-117.1831","3/21/2008","1",""
"32.7336","-117.1831","3/22/2008","",""
"32.7336","-117.1831","3/23/2008","",""
"32.7336","-117.1831","3/24/2008","1","1"
"32.7336","-117.1831","3/25/2008","1","1"
"32.7336","-117.1831","3/26/2008","1",""
"32.7336","-117.1831","3/27/2008","",""
"32.7336","-117.1831","3/28/2008","",""
"32.7336","-117.1831","3/29/2008","1",""
"32.7336","-117.1831","3/30/2008","1",""
"32.7336","-117.1831","3/31/2008","",""
"32.7336","-117.1831","4/1/2008","",""
"32.7336","-117.1831","4/2/2008","",""
"32.7336","-117.1831","4/3/2008","",""
"32.7336","-117.1831","4/4/2008","1",""
"32.7336","-117.1831","4/5/2008","",""
"32.7336","-117.1831","4/6/2008","",""
"32.7336","-117.1831","4/7/2008","",""
"32.7336","-117.1831","4/8/2008","",""
"32.7336","-117.1831","4/9/2008","",""
"32.7336","-117.1831","4/10/2008","",""
"32.7336","-117.1831","4/11/2008","",""
"32.7336","-117.1831","4/12/2008","",""
"32.7336","-117.1831","4/13/2008","",""
"32.7336","-117.1831","4/14/2008","",""
"32.7336","-117.1831","4/15/2008","",""
"32.7336","-117.1831","4/16/2008","",""
"32.7336","-117.1831","4/17/2008","",""
"32.7336","-117.1831","4/18/2008","",""
"32.7336","-117.1831","4/19/2008","",""
"32.7336","-117.1831","4/20/2008","",""
"32.7336","-117.1831","4/21/2008","",""
"32.7336","-117.1831","4/22/2008","",""
"32.7336","-117.1831","4/23/2008","",""
"32.7336","-117.1831","4/24/2008","",""
"32.7336","-117.1831","4/25/2008","",""
"32.7336","-117.1831","4/26/2008","",""
"32.7336","-117.1831","4/27/2008","",""
"32.7336","-117.1831","4/28/2008","",""
"32.7336","-117.1831","4/29/2008","1",""
