"streetlight_model","streetlight_type","streetlight_wattage","longitude","latitude"
"COBRA","IND","85.0","-117.25242356","32.86428234"
"COBRA","IND","85.0","-117.25089168","32.87226729"
"COBRA","IND","85.0","-117.24684144","32.88149265"
"COBRA","IND","85.0","-117.24847586","32.8854524"
"COBRA","IND","85.0","-117.24738199","32.88527265"
"COBRA","IND","85.0","-117.25420458","32.8635436"
"COBRA","IND","85.0","-117.24667139","32.8828851"
"COBRA","IND","85.0","-117.2519722","32.86780375"
"COBRA","IND","85.0","-117.24758514","32.88141215"
"COBRA","IND","85.0","-117.24852275","32.87997251"
"COBRA","IND","85.0","-117.24753283","32.88299615"
"COBRA","HPS","90.0","-117.24606994","32.87176903"
"COBRA","LPS","55.0","-116.99069618","33.08558617"
"COBRA","IND","85.0","-117.06876485","32.68209898"
"COBRA","IND","85.0","-117.06832625","32.68254585"
"COBRA","IND","85.0","-117.06946037","32.68211328"
"COBRA","IND","85.0","-117.06895161","32.68178925"
"COBRA","IND","85.0","-117.06971182","32.68116758"
"COBRA","IND","165.0","-117.06977255","32.68094381"
"COBRA","IND","85.0","-117.07126621","32.68170519"
"COBRA","IND","85.0","-117.07218565","32.68145986"
"COBRA","IND","85.0","-117.07217956","32.68087719"
"COBRA","IND","85.0","-117.07198214","32.68060339"
"COBRA","IND","85.0","-117.0716405","32.67984739"
"COBRA","IND","85.0","-117.07152805","32.67921293"
"COBRA","IND","85.0","-117.06982136","32.6796115"
"COBRA","IND","85.0","-117.0701212","32.67999085"
"COBRA","IND","85.0","-117.07087667","32.68033566"
"COBRA","IND","85.0","-117.06967152","32.68064349"
"COBRA","IND","85.0","-117.06824181","32.68044545"
"COBRA","IND","85.0","-117.2469644","32.8836049"
"COBRA","IND","85.0","-117.0686331","32.67053764"
"COBRA","IND","85.0","-117.0696606","32.67320495"
"COBRA","IND","85.0","-117.06939107","32.6722637"
"COBRA","IND","85.0","-117.06833512","32.6733148"
"COBRA","IND","85.0","-117.06814352","32.67500972"
"COBRA","IND","85.0","-117.06911819","32.67483008"
"COBRA","IND","55.0","-117.07031197","32.67480552"
"COBRA","IND","85.0","-117.07060575","32.67560436"
"COBRA","IND","85.0","-117.06924481","32.67563279"
"COBRA","IND","85.0","-117.06878332","32.67715555"
"COBRA","IND","85.0","-117.06907054","32.67778484"
"COBRA","IND","85.0","-117.07005654","32.67753976"
"COBRA","IND","85.0","-117.07130316","32.67739317"
"COBRA","IND","85.0","-117.07155882","32.67801667"
"COBRA","IND","85.0","-117.06942391","32.67877926"
"COBRA","IND","85.0","-117.11090735","32.68451842"
"COBRA","IND","85.0","-117.11043529","32.68471165"
"COBRA","IND","85.0","-117.11039307","32.68419359"
"COBRA","IND","85.0","-117.10680484","32.68405941"
"COBRA","IND","85.0","-117.10696204","32.68432747"
"COBRA","IND","85.0","-117.109289","32.68396515"
"COBRA","IND","85.0","-117.10774658","32.68387389"
"COBRA","IND","85.0","-117.1088901","32.68469731"
"COBRA","IND","85.0","-117.1055196","32.6847345"
"COBRA","IND","85.0","-117.02989089","32.72069018"
"COBRA","IND","85.0","-117.02884612","32.72110168"
"COBRA","IND","85.0","-117.07101264","32.67645398"
"COBRA","IND","85.0","-117.06813225","32.67914109"
"COBRA","IND","165.0","-117.06873058","32.68022545"
"COBRA","IND","165.0","-117.07076235","32.68077768"
"COBRA","IND","165.0","-117.07104253","32.68094742"
"COBRA","IND","165.0","-117.07067009","32.67936018"
"COBRA","IND","165.0","-117.06880045","32.67992052"
"COBRA","IND","165.0","-117.06810458","32.6792098"
"COBRA","IND","85.0","-117.07085824","32.67837509"
"COBRA","IND","85.0","-117.25181921","32.86286237"
"COBRA","IND","85.0","-117.25330948","32.86339518"
"COBRA","IND","85.0","-117.25333845","32.86357284"
"COBRA","IND","85.0","-117.25141394","32.87098241"
"COBRA","IND","85.0","-117.2486804","32.87191506"
"COBRA","IND","85.0","-117.24755898","32.87130954"
"COBRA","IND","85.0","-117.10996802","32.68470921"
"COBRA","IND","85.0","-117.10586791","32.68461882"
"COBRA","IND","85.0","-117.10486652","32.68417838"
"COBRA","IND","85.0","-117.1066475","32.68366653"
"COBRA","IND","85.0","-117.10763451","32.68336516"
"COBRA","IND","85.0","-117.25060746","32.87108048"
