station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,16847.16134,32.68209898,-117.0687649,20686
Station_id 119030,31931,11655051,16941.83662,32.68254585,-117.0683263,20686
Station_id 119030,31931,11655051,16636.91928,32.68211328,-117.0694604,20686
Station_id 119030,31931,11655051,16817.98029,32.68178925,-117.0689516,20686
Station_id 119030,31931,11655051,16646.9959,32.68116758,-117.0697118,20686
Station_id 119030,31931,11655051,16650.11498,32.68094381,-117.0697726,20686
Station_id 119030,31931,11655051,16132.11795,32.68170519,-117.0712662,20686
Station_id 119030,31931,11655051,15880.61811,32.68145986,-117.0721857,20686
Station_id 119030,31931,11655051,15939.78021,32.68087719,-117.0721796,20686
Station_id 119030,31931,11655051,16026.22734,32.68060339,-117.0719821,20686
Station_id 119030,31931,11655051,16206.78364,32.67984739,-117.0716405,20686
Station_id 119030,31931,11655051,16309.60622,32.67921293,-117.0715281,20686
Station_id 119030,31931,11655051,16769.97093,32.6796115,-117.0698214,20686
Station_id 119030,31931,11655051,16641.42741,32.67999085,-117.0701212,20686
Station_id 119030,31931,11655051,16381.77981,32.68033566,-117.0708767,20686
Station_id 119030,31931,11655051,16709.33666,32.68064349,-117.0696715,20686
Station_id 119030,31931,11655051,17154.72027,32.68044545,-117.0682418,20686
Station_id 119030,31931,11655051,18340.36482,32.67053764,-117.0686331,20686
Station_id 119030,31931,11655051,17636.62278,32.67320495,-117.0696606,20686
Station_id 119030,31931,11655051,17855.31477,32.6722637,-117.0693911,20686
Station_id 119030,31931,11655051,17995.61424,32.6733148,-117.0683351,20686
Station_id 119030,31931,11655051,17813.42875,32.67500972,-117.0681435,20686
Station_id 119030,31931,11655051,17557.98694,32.67483008,-117.0691182,20686
Station_id 119030,31931,11655051,17219.92182,32.67480552,-117.070312,20686
Station_id 119030,31931,11655051,17025.54651,32.67560436,-117.0706058,20686
Station_id 119030,31931,11655051,17413.26833,32.67563279,-117.0692448,20686
Station_id 119030,31931,11655051,17353.99589,32.67715555,-117.0687833,20686
Station_id 119030,31931,11655051,17194.98061,32.67778484,-117.0690705,20686
Station_id 119030,31931,11655051,16935.98887,32.67753976,-117.0700565,20686
Station_id 119030,31931,11655051,16590.98631,32.67739317,-117.0713032,20686
Station_id 119030,31931,11655051,16439.93041,32.67801667,-117.0715588,20686
Station_id 119030,31931,11655051,16977.58434,32.67877926,-117.0694239,20686
Station_id 119030,31931,11655051,4533.770798,32.68451842,-117.1109074,20686
Station_id 119030,31931,11655051,4596.505392,32.68471165,-117.1104353,20686
Station_id 119030,31931,11655051,4731.329862,32.68419359,-117.1103931,20686
